City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
555,Sabang,ID,83.3,overcast clouds,5.8933,95.3214,Hotel Citra
556,Yanam,IN,81.01,scattered clouds,16.7333,82.2167,The Regency Hotel
558,Buala,SB,82.24,light rain,-8.145,159.5921,Maringe Lagoon Lodge
562,Boca Do Acre,BR,82.27,broken clouds,-8.7522,-67.3978,Hotel Sao Pedro
563,Catuday,PH,79.97,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
566,Luwuk,ID,78.1,moderate rain,-0.9516,122.7875,Hotel Santika Luwuk
567,Jalingo,NG,77.65,overcast clouds,8.8833,11.3667,Debright Motel
570,Tooele,US,77.32,clear sky,40.5308,-112.2983,"Holiday Inn Express & Suites Tooele, an IHG Hotel"
576,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
578,Gatesville,US,81.36,clear sky,31.4352,-97.7439,Ramada by Wyndham Gatesville N. Fort Hood
583,Eyl,SO,80.46,scattered clouds,7.9803,49.8164,Amiin Hotel
589,Denpasar,ID,80.26,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
590,Kismayo,SO,79.16,few clouds,-0.3582,42.5454,Agan-Hotel
591,Palmas,BR,80.47,clear sky,-10.2128,-48.3603,Hotel Lago da Palma
592,Kavaratti,IN,83.01,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
595,Acapulco,MX,85.82,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
597,Sindon,PH,76.08,overcast clouds,17.0603,122.0151,SINDUN BAYABO VIEW DECK
599,Lar,IN,83.89,clear sky,26.2039,83.9717,Ovaiskarni ward Lar
602,Macau,MO,78.85,scattered clouds,22.2006,113.5461,Grand Emperor Hotel
608,Griffith,US,82.89,scattered clouds,41.5284,-87.4237,Apartment above Depot Bar
611,El Copey,CO,82.33,overcast clouds,10.1503,-73.9614,Copey cesar
613,Coruripe,BR,75.9,heavy intensity rain,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
616,San Patricio,US,87.67,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
617,Mersing,MY,75.25,overcast clouds,2.4312,103.8405,Timotel Hotel
624,Canutama,BR,80.49,overcast clouds,-6.5339,-64.3831,Hotel Jhennifer
627,Tamiahua,MX,86.41,overcast clouds,21.2667,-97.45,Mission Of The Sun Hotel
630,Kalmunai,LK,78.44,overcast clouds,7.4167,81.8167,VS Villa
637,Baculin,PH,77.0,overcast clouds,7.4525,126.5842,Baculin Cove Beach Resort
642,Gairatganj,IN,87.48,scattered clouds,23.4202,78.2385,new garib namz road lines
643,Ugoofaaru,MV,81.88,overcast clouds,5.6667,73.0,Ungoofaaru Inn
647,Bafq,IR,77.09,clear sky,31.6128,55.4107,Alamdar Hotel
649,Mocajuba,BR,76.86,overcast clouds,-2.5842,-49.5072,Hotel Saylon Mocajuba
651,Cabot,US,82.09,overcast clouds,34.9745,-92.0165,Super 8 by Wyndham Cabot
653,Ouro Preto Do Oeste,BR,79.95,broken clouds,-10.7481,-62.2158,Graúna Resort Hotel
654,Nabire,ID,76.57,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
656,Marrakesh,MA,75.27,clear sky,31.6315,-8.0083,Les Jardins de La Koutoubia
657,Natal,BR,77.65,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
661,Macherla,IN,87.98,overcast clouds,16.4833,79.4333,Vivek express
666,Sibolga,ID,76.39,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
671,Bajil,YE,85.82,clear sky,15.0584,43.2851,فندق حضرموت
673,Dhidhdhoo,MV,81.99,overcast clouds,6.8833,73.1,Dhidhoo beach
681,North Port,US,89.98,overcast clouds,27.0442,-82.2359,Americas Best Value Inn & Suites North Port
683,Kedougou,SN,86.79,overcast clouds,12.5579,-12.1743,Relais de Kédougou
690,Kuching,MY,77.22,heavy intensity rain,1.55,110.3333,Hilton Kuching
704,Nyaunglebin,MM,75.33,overcast clouds,17.95,96.7333,Thi ha
706,Gusau,NG,87.89,few clouds,12.1628,6.6614,GUEST INN
711,Zaria,NG,79.99,clear sky,11.1113,7.7227,A.B.U Hotels
