City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
262,La Ronge,CA,55.1001,-105.2842,61.05,39,40,10.36,scattered clouds
263,Sakakah,SA,29.9697,40.2064,83.77,15,0,11.72,clear sky
264,Solnechnyy,RU,50.7214,136.6319,57.61,51,32,4.07,scattered clouds
265,Girne,CY,35.3417,33.3167,67.55,71,0,9.06,clear sky
266,Tazovskiy,RU,67.4667,78.7,31.53,84,10,6.55,clear sky
267,Wajir,KE,1.7471,40.0573,77.95,71,45,12.41,scattered clouds
268,Caravelas,BR,-17.7125,-39.2481,70.21,89,1,8.48,light rain
269,Fairview,US,40.8126,-73.999,70.61,58,0,12.66,clear sky
270,Katsina,NG,12.9894,7.6006,86.41,8,3,6.69,clear sky
271,Suhbaatar,MN,50.2314,106.2078,57.09,44,100,2.93,overcast clouds
272,Serrana,BR,-21.2114,-47.5956,63.18,59,0,4.54,clear sky
273,Torbay,CA,47.6666,-52.7314,48.27,58,62,1.99,broken clouds
274,Amapa,BR,1.0,-52.0,73.47,99,15,2.89,few clouds
275,Ca Mau,VN,9.1769,105.15,81.16,79,100,8.88,overcast clouds
276,Puerto Quijarro,BO,-17.7833,-57.7667,80.76,39,80,1.25,broken clouds
277,Geraldton,AU,-28.7667,114.6,61.21,77,100,10.36,overcast clouds
278,Praia,CV,14.9215,-23.5087,72.14,73,20,13.8,few clouds
279,Jagtial,IN,18.8,78.9333,88.9,41,44,3.42,scattered clouds
280,Barcelos,PT,41.5388,-8.6151,64.85,82,30,5.73,scattered clouds
281,Murgab,TM,37.4966,61.9714,77.76,29,1,18.9,clear sky
282,Kang,BW,-23.6752,22.7876,60.78,35,0,3.33,clear sky
283,Gladstone,AU,-23.85,151.25,66.13,77,88,6.91,overcast clouds
284,Pangnirtung,CA,66.1451,-65.7125,22.19,92,100,11.34,light snow
285,Rio Gallegos,AR,-51.6226,-69.2181,41.97,72,96,26.24,overcast clouds
286,Lumby,CA,50.2498,-118.969,74.55,56,67,4.61,broken clouds
287,Tianpeng,CN,30.9866,103.9393,71.73,86,100,1.83,overcast clouds
288,Charagua,BO,-19.8,-63.2167,74.48,63,100,10.94,overcast clouds
289,Port Hedland,AU,-20.3167,118.5667,71.65,83,40,5.75,scattered clouds
290,Port Keats,AU,-14.25,129.55,70.74,42,82,7.52,broken clouds
291,Kamensk-Uralskiy,RU,56.4185,61.9329,48.24,94,18,6.24,few clouds
292,South Shields,GB,54.9986,-1.4323,53.33,70,20,13.8,few clouds
293,Comodoro Rivadavia,AR,-45.8667,-67.5,43.18,41,6,10.07,clear sky
294,Milkovo,RU,54.7167,158.6167,47.82,78,100,1.54,overcast clouds
295,Canete,CL,-37.8,-73.4,46.54,85,24,6.51,few clouds
296,Lac Du Bonnet,CA,50.2536,-96.0612,60.8,64,100,1.41,overcast clouds
297,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,69,68,5.06,broken clouds
298,Skelleftea,SE,64.7507,20.9528,53.01,66,75,5.75,broken clouds
299,Galveston,US,29.3669,-94.9669,85.05,56,83,8.16,broken clouds
300,Cesme,TR,38.3228,26.3064,68.31,74,0,7.16,clear sky
301,Sorong,ID,-0.8833,131.25,76.23,88,100,4.92,overcast clouds
302,Pratapgarh,IN,24.0333,74.7833,84.24,48,19,15.35,few clouds
303,Port Macquarie,AU,-31.4333,152.9167,55.89,89,90,4.74,overcast clouds
304,Iqaluit,CA,63.7506,-68.5145,16.7,72,68,27.0,broken clouds
305,Selenginsk,RU,52.0064,106.8647,43.21,50,0,3.6,clear sky
306,Saint-Pierre,RE,-21.3393,55.4781,71.28,68,0,6.91,clear sky
307,Waipawa,NZ,-41.4122,175.5153,45.32,73,99,9.42,overcast clouds
308,Ilabaya,PE,-17.4208,-70.5133,69.19,38,61,2.33,broken clouds
309,Tevaitoa,PF,-16.7833,-151.5,80.69,65,0,11.97,clear sky
310,Laguna,US,38.421,-121.4238,102.94,19,0,5.75,clear sky
311,Fukue,JP,32.6881,128.8419,67.95,91,100,2.46,overcast clouds
312,Amot,NO,59.5714,7.9877,44.33,92,99,4.85,light rain
313,Victor Harbor,AU,-35.5667,138.6167,56.68,94,11,6.38,few clouds
314,Merauke,ID,-8.4667,140.3333,77.79,85,57,8.95,broken clouds
315,Kilindoni,TZ,-7.9139,39.6668,80.31,76,68,14.38,broken clouds
316,Gondanglegi,ID,-7.7479,112.0132,74.89,95,100,3.56,overcast clouds
317,Moctezuma,MX,29.8,-109.6667,96.94,10,0,5.57,clear sky
318,Guerrero Negro,MX,27.9769,-114.0611,74.48,48,0,14.41,clear sky
319,Kruisfontein,ZA,-34.0033,24.7314,59.11,85,24,13.56,light rain
320,Yumen,CN,40.2833,97.2,62.26,13,100,12.91,overcast clouds
321,Pisco,PE,-13.7,-76.2167,65.01,83,4,3.62,clear sky
322,Dryden,CA,49.7833,-92.7503,60.78,49,100,10.36,overcast clouds
323,Klaksvik,FO,62.2266,-6.589,47.32,77,27,16.58,scattered clouds
324,Vila Velha,BR,-20.3297,-40.2925,73.94,81,0,0.0,clear sky
325,Dillon,US,34.4166,-79.3712,82.04,58,73,5.93,broken clouds
326,Prainha,BR,-1.8,-53.48,78.24,81,67,3.11,broken clouds
327,Ancud,CL,-41.8697,-73.8203,42.03,71,4,3.74,clear sky
328,Karoi,ZW,-16.8099,29.6925,57.69,51,0,2.17,clear sky
329,Saint Anthony,US,45.0205,-93.218,52.66,92,100,9.22,mist
330,Roald,NO,62.5833,6.1333,53.91,76,0,6.91,clear sky
331,Tautira,PF,-17.7333,-149.15,79.52,73,44,10.2,scattered clouds
332,Puerto Madero,MX,14.7208,-92.4215,81.75,80,93,10.56,overcast clouds
333,Humboldt,US,40.6665,-123.9178,60.13,39,48,7.96,scattered clouds
334,Asau,RO,46.4333,26.4,63.95,84,42,5.5,scattered clouds
335,Celestun,MX,20.8667,-90.4,83.77,75,82,12.88,broken clouds
336,Fallon,US,39.4735,-118.7774,87.46,12,45,0.94,scattered clouds
337,Maceio,BR,-9.6658,-35.7353,72.84,94,100,4.61,light rain
338,Wau,SS,7.7029,27.9953,75.56,72,66,4.94,broken clouds
339,Muscat,OM,23.6139,58.5922,92.12,40,0,10.67,clear sky
340,Amuntai,ID,-2.4177,115.2494,74.21,99,100,2.91,moderate rain
341,Arlit,NE,18.7369,7.3853,87.8,19,68,10.04,broken clouds
342,Waseca,US,44.0777,-93.5074,52.18,89,100,8.05,overcast clouds
343,Srednekolymsk,RU,67.45,153.6833,45.95,62,30,16.8,scattered clouds
344,Airai,TL,-8.9266,125.4092,58.51,93,100,2.66,overcast clouds
345,Stornoway,GB,58.2093,-6.3865,47.93,84,20,11.5,few clouds
346,Christchurch,NZ,-43.5333,172.6333,45.91,86,100,5.75,overcast clouds
